test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
numeric_noise,0.01,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
numeric_noise,0.03,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
numeric_noise,0.05,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
numeric_noise,0.1,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
missing_values,0.01,0.8018431488838159,0.8018431488838158,0.8023296244784422,0.001953639209934299
missing_values,0.03,0.7990193426794006,0.7990193426794003,0.799547983310153,0.004777445414349657
missing_values,0.05,0.7965419937071112,0.7965419937071113,0.7971140472878998,0.0072547943866390074
categorical_replacement,0.01,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
categorical_replacement,0.03,0.8036127060152944,0.8036127060152944,0.8040681502086231,0.00018408207845577174
categorical_replacement,0.05,0.8036322661810018,0.8036322661810017,0.8040681502086231,0.00016452191274840544
