attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.20105263157894737,0.7985421261585626,0.7984952386240596,0.7765614938828075,0.8421787709497207,0.5449122807017543,0.5024561403508772
gender,Male,2902,0.19055823569951758,0.8089325220653744,0.8089779322009891,0.778263585259213,0.8628808864265928,0.5516884906960716,0.49758787043418334
age_group,18 to 25 years,458,0.16375545851528384,0.8372164305232281,0.8267907117464639,0.8844765342960289,0.8506944444444444,0.6048034934497817,0.62882096069869
age_group,26 to 35 years,1145,0.17467248908296942,0.8252901706384054,0.8251641471980455,0.8249158249158249,0.8361774744027304,0.5187772925764192,0.5117903930131005
age_group,36 to 45 years,956,0.1705020920502092,0.8300962060932855,0.8269052826613141,0.7806004618937644,0.8325123152709359,0.45292887029288703,0.4246861924686193
age_group,46 to 55 years,515,0.14951456310679612,0.8504944652437268,0.8503409832848371,0.844,0.8473895582329317,0.4854368932038835,0.48349514563106794
age_group,56 to 65 years,220,0.19545454545454546,0.8048775603997856,0.8015565018564745,0.7653061224489796,0.7894736842105263,0.44545454545454544,0.4318181818181818
age_group,Over 65 years,73,0.2328767123287671,0.7689711663634317,0.7655393916493483,0.6756756756756757,0.8333333333333334,0.5068493150684932,0.410958904109589
age_group,Unknown,2385,0.23102725366876312,0.7659436052867892,0.7652081348274377,0.7290102389078499,0.8739770867430442,0.6142557651991615,0.5123689727463312
nationality,Brazilian,5593,0.19542284999106024,0.8041056028603374,0.8041274182088494,0.7762943666558124,0.8544802867383513,0.5490792061505453,0.49883783300554263
nationality,Foreign,159,0.20754716981132076,0.7927000965837525,0.7916286088717683,0.8192771084337349,0.7906976744186046,0.5220125786163522,0.5408805031446541
flight_type,Domestic,5187,0.19433198380566802,0.8050487348157753,0.8050026181173722,0.7765072765072765,0.8605990783410138,0.556390977443609,0.5020242914979757
flight_type,International,565,0.2088495575221239,0.7910848901999344,0.7907407407407407,0.7873134328358209,0.7757352941176471,0.4743362831858407,0.4814159292035398
process,Boarding,3367,0.17077517077517076,0.8292374835749976,0.8292161519561423,0.8194197750148017,0.8367593712212817,0.5016335016335016,0.4912384912384912
process,Disembarkation,2385,0.23102725366876312,0.7659436052867892,0.7652081348274377,0.7290102389078499,0.8739770867430442,0.6142557651991615,0.5123689727463312
trip_purpose,Business,1246,0.17174959871589085,0.8284991064753954,0.8254435855538798,0.7931034482758621,0.813780260707635,0.442215088282504,0.43097913322632425
trip_purpose,Family,198,0.15151515151515152,0.8483917516175581,0.847926267281106,0.8490566037735849,0.8653846153846154,0.5353535353535354,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.14285714285714285,0.8558730158730159,0.8444444444444444,0.8333333333333334,0.7692307692307693,0.34285714285714286,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.17884130982367757,0.8210076675240041,0.8203582701190357,0.822637106184364,0.8422939068100358,0.5396725440806045,0.5270780856423174
trip_purpose,Leisure and business,56,0.16071428571428573,0.8393369788106629,0.8392344497607656,0.8571428571428571,0.8275862068965517,0.5,0.5178571428571429
trip_purpose,Other,129,0.1937984496124031,0.8064346913796118,0.806015037593985,0.7692307692307693,0.8333333333333334,0.5038759689922481,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.047619047619047616,0.9525988885256621,0.9519450800915332,1.0,0.9166666666666666,0.5238095238095238,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.10144927536231885,0.8994841024175754,0.8941949616648411,0.95,0.8837209302325582,0.5797101449275363,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.23102725366876312,0.7659436052867892,0.7652081348274377,0.7290102389078499,0.8739770867430442,0.6142557651991615,0.5123689727463312
