test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8037836635844041,0.8037836635844042,0.8042420027816412,0.0
numeric_noise,0.01,0.8037836635844041,0.8037836635844042,0.8042420027816412,0.0
numeric_noise,0.03,0.8037836635844041,0.8037836635844042,0.8042420027816412,0.0
numeric_noise,0.05,0.8037836635844041,0.8037836635844042,0.8042420027816412,0.0
numeric_noise,0.1,0.8037836635844041,0.8037836635844042,0.8042420027816412,0.0
missing_values,0.01,0.801651590338399,0.801651590338399,0.8021557719054242,0.002132073246005173
missing_values,0.03,0.7990193426794006,0.7990193426794003,0.799547983310153,0.004764320905003561
missing_values,0.05,0.7961704740668972,0.7961704740668971,0.7967663421418637,0.007613189517506891
categorical_replacement,0.01,0.8036060898949435,0.8036060898949435,0.8040681502086231,0.00017757368946058616
categorical_replacement,0.03,0.803777029332837,0.8037770293328369,0.8042420027816412,6.634251567105842e-06
categorical_replacement,0.05,0.8032773039875374,0.8032773039875374,0.8037204450625869,0.0005063595968667345
