rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.12389873442138295,0.0045354991913945574,0.8044914823455809,5,5000,True,True
2,overall_airport_cleanliness,0.04117678617944507,0.003504526465083816,0.8044914823455809,5,5000,True,True
3,boarding_lounge_comfort,0.017448485952056968,0.0005300378514107112,0.8044914823455809,5,5000,True,True
4,thermal_comfort,0.014161202003314078,0.0017537107993364322,0.8044914823455809,5,5000,True,True
5,food_beverage_quality_variety,0.005981734981300124,0.0007431364509343573,0.8044914823455809,5,5000,True,True
6,food_beverage_outlet_quantity,0.004292908787807326,0.0006521471944062477,0.8044914823455809,5,5000,True,True
7,signage,0.0041152777188359305,0.0009466389426574087,0.8044914823455809,5,5000,True,True
8,baggage_claim_process,0.0036322053322695113,0.001271368097677153,0.8044914823455809,5,5000,True,True
9,restroom_maintenance,0.002930698493380035,0.0006162271995867152,0.8044914823455809,5,5000,True,True
10,restrooms,0.001921716420276476,0.0006012292108513576,0.8044914823455809,5,5000,True,True
11,immigration_control,0.0018839083132899948,0.0006760072152246825,0.8044914823455809,5,5000,True,True
12,acoustic_comfort,0.0018490070009312908,0.0002585636006399528,0.8044914823455809,5,5000,True,True
13,trips_last_12_months,0.0017615948587630602,0.0011824384965735757,0.8044914823455809,5,5000,True,True
14,checkin_queue_organization,0.0016038387391500652,0.0002264299659318451,0.8044914823455809,5,5000,True,True
15,restroom_quantity,0.0014691230450360581,0.00022697622439725386,0.8044914823455809,5,5000,True,True
16,security_screening_process,0.0014012360621957986,0.0005426667211650702,0.8044914823455809,5,5000,True,True
17,flight_information_display_availability,0.0012292421900338413,0.00018215150711288505,0.8044914823455809,5,5000,True,True
18,customs_control,0.000927757976165422,8.792455815051518e-05,0.8044914823455809,5,5000,True,True
19,power_outlet_availability,0.0009199922828229123,0.00038821959064684424,0.8044914823455809,5,5000,True,True
20,household_income,0.0007020636542619974,0.0004080243233000326,0.8044914823455809,5,5000,True,True
21,baggage_claim_time,0.00048148692199376784,0.00016904128363423335,0.8044914823455809,5,5000,True,True
22,staff_courtesy,0.00041719806302253915,0.0,0.8044914823455809,5,5000,True,True
23,security_queue_organization,0.00021260156877977998,0.0,0.8044914823455809,5,5000,True,True
24,gender,8.677859760959361e-05,0.0005455543251688958,0.8044914823455809,5,5000,True,True
25,security_queue_wait_time,8.02924181886322e-06,0.0,0.8044914823455809,5,5000,True,True
26,parking_value_for_money,0.0,0.0,0.8044914823455809,5,5000,True,True
27,airport_internet,0.0,0.0,0.8044914823455809,5,5000,True,True
28,parking_terminal_access_ease,0.0,0.0,0.8044914823455809,5,5000,True,True
29,reserved_seat_availability,0.0,0.0,0.8044914823455809,5,5000,True,True
30,terminal_accessibility,0.0,0.0,0.8044914823455809,5,5000,True,True
31,process,0.0,0.0,0.8044914823455809,5,5000,True,True
