attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.20385964912280702,0.7956898157185187,0.7956401504254365,0.7729313662604234,0.8414804469273743,0.5470175438596491,0.5024561403508772
gender,Male,2902,0.19228118538938663,0.8074582215639794,0.8074902242188291,0.7843388960205392,0.8462603878116344,0.5368711233631978,0.49758787043418334
age_group,18 to 25 years,458,0.1965065502183406,0.8051020908829652,0.7932383627608347,0.8639705882352942,0.8159722222222222,0.5938864628820961,0.62882096069869
age_group,26 to 35 years,1145,0.18253275109170305,0.8174925923823112,0.8174399559362815,0.8289703315881326,0.810580204778157,0.5004366812227075,0.5117903930131005
age_group,36 to 45 years,956,0.15271966527196654,0.84723037601967,0.843633349017499,0.8217821782178217,0.8177339901477833,0.4225941422594142,0.4246861924686193
age_group,46 to 55 years,515,0.15922330097087378,0.8407766990291262,0.8406030135579914,0.8353413654618473,0.8353413654618473,0.48349514563106794,0.48349514563106794
age_group,56 to 65 years,220,0.20909090909090908,0.7911549975562072,0.7874663978494624,0.7525773195876289,0.7684210526315789,0.4409090909090909,0.4318181818181818
age_group,Over 65 years,73,0.1643835616438356,0.8356164383561644,0.8302325581395349,0.8,0.8,0.410958904109589,0.410958904109589
age_group,Unknown,2385,0.23228511530398324,0.7640170449186173,0.7632089984487411,0.7238605898123325,0.88379705400982,0.6255765199161426,0.5123689727463312
nationality,Brazilian,5593,0.19864115859109602,0.8010033339131136,0.8010223528326414,0.7767886580942961,0.8444444444444444,0.5422849991060253,0.49883783300554263
nationality,Foreign,159,0.1761006289308176,0.8240533541310456,0.8230524642289349,0.8452380952380952,0.8255813953488372,0.5283018867924528,0.5408805031446541
flight_type,Domestic,5187,0.19683824946982842,0.8026608915058829,0.8026189869660022,0.7772329246935201,0.8521505376344086,0.5504144977829188,0.5020242914979757
flight_type,International,565,0.2088495575221239,0.7909470158797316,0.7905198200236282,0.7938931297709924,0.7647058823529411,0.46371681415929206,0.4814159292035398
process,Boarding,3367,0.17374517374517376,0.826215687775171,0.8261360612131139,0.8289230769230769,0.8143893591293833,0.4826254826254826,0.4912384912384912
process,Disembarkation,2385,0.23228511530398324,0.7640170449186173,0.7632089984487411,0.7238605898123325,0.88379705400982,0.6255765199161426,0.5123689727463312
trip_purpose,Business,1246,0.15971107544141253,0.8399506114144952,0.83652767842721,0.825,0.7988826815642458,0.4173354735152488,0.43097913322632425
trip_purpose,Family,198,0.1414141414141414,0.8584989681763876,0.8580645161290323,0.8584905660377359,0.875,0.5353535353535354,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.2,0.803027754415475,0.7939444911690496,0.6875,0.8461538461538461,0.45714285714285713,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.1889168765743073,0.8111299835462902,0.8106262372498668,0.8238841978287093,0.8160095579450418,0.5220403022670025,0.5270780856423174
trip_purpose,Leisure and business,56,0.17857142857142858,0.8214285714285714,0.8214285714285714,0.8518518518518519,0.7931034482758621,0.48214285714285715,0.5178571428571429
trip_purpose,Other,129,0.20155038759689922,0.7986922103660243,0.7981463649494462,0.765625,0.8166666666666667,0.49612403100775193,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.14285714285714285,0.8571428571428571,0.8571428571428571,1.0,0.75,0.42857142857142855,0.5714285714285714
trip_purpose,Sports,6,0.16666666666666666,0.9090909090909091,0.45454545454545453,1.0,0.8333333333333334,0.8333333333333334,1.0
trip_purpose,Study/conference,69,0.15942028985507245,0.8429739217497023,0.8371594078523923,0.9444444444444444,0.7906976744186046,0.5217391304347826,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.23228511530398324,0.7640170449186173,0.7632089984487411,0.7238605898123325,0.88379705400982,0.6255765199161426,0.5123689727463312
