train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.7924793195286493,0.0020705709608167767,0.7831037941119982,0.0037642592177897054
8281,0.7986896338168489,0.002270560134041933,0.7893850089230637,0.0030404535707493686
12422,0.799763181998418,0.002566368927418918,0.7934780036606858,0.0045301025719383095
16563,0.8030984660264379,0.002800445426679689,0.7952643669429135,0.003495962967571555
20704,0.8051868002364928,0.00191156841479927,0.7971107245628823,0.002882125851236527
24845,0.8046635708489189,0.0013995057991554889,0.7986523871543874,0.003008721207903997
28986,0.8053084411502643,0.0007199742282769869,0.7997632284188294,0.0031916066506295017
33127,0.8066659642087869,0.0012149157552249087,0.7987561373512928,0.003171213062947085
37268,0.8063010072032242,0.0009726059975261183,0.7999284893358777,0.004367071620590585
41409,0.8064175760695029,0.0014546684482897793,0.8000973644640039,0.0046098653850988
