rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.00615328557634025,0.0008144213405298214,0.7997726266853022,5,5000,True,True
2,food_beverage_outlet_quantity,0.0027360878241930566,0.00035765424617382796,0.7997726266853022,5,5000,True,True
3,overall_airport_cleanliness,0.0021462308107598194,0.0012192363206842305,0.7997726266853022,5,5000,True,True
4,signage,0.0018090599433161713,0.0005407904252213197,0.7997726266853022,5,5000,True,True
5,acoustic_comfort,0.0014671766795548047,0.000695492491711981,0.7997726266853022,5,5000,True,True
6,food_beverage_quality_variety,0.0012928680643933266,0.00035766032552806933,0.7997726266853022,5,5000,True,True
7,thermal_comfort,0.0011820522541980516,0.0010072801717820087,0.7997726266853022,5,5000,True,True
8,ticket_purchase_process,0.0010173831850058379,0.0005625116405057051,0.7997726266853022,5,5000,True,True
9,food_beverage_outlets,0.0010002463161299824,0.0013924242307075938,0.7997726266853022,5,5000,True,True
10,food_beverage_price_quality,0.0009425343411008091,0.00014659833926576504,0.7997726266853022,5,5000,True,True
11,seat_availability,0.0008419453758139239,0.0004125754572719392,0.7997726266853022,5,5000,True,True
12,security_staff_service,0.0006993192469555432,0.00016723818244710343,0.7997726266853022,5,5000,True,True
13,checkin_queue_wait_time,0.0005756740849352182,9.041679150989453e-05,0.7997726266853022,5,5000,True,True
14,customs_control,0.0005567589504907655,0.00016864084937307351,0.7997726266853022,5,5000,True,True
15,security_queue_wait_time,0.0005557111876967503,0.00014170627555684678,0.7997726266853022,5,5000,True,True
16,checkin_queue_organization,0.0005023979623898445,0.00016723961203897063,0.7997726266853022,5,5000,True,True
17,retail_quality_variety,0.0004751030863004102,0.00011179855766503534,0.7997726266853022,5,5000,True,True
18,trip_purpose,0.0004599244734739383,0.0006980131640376648,0.7997726266853022,5,5000,True,True
19,trips_last_12_months,0.00044811833176781055,0.0010688274843074662,0.7997726266853022,5,5000,True,True
20,retail_price_quality,0.00038612319977804344,0.0,0.7997726266853022,5,5000,True,True
21,staff_courtesy,0.00038424984767355675,9.115923786784734e-05,0.7997726266853022,5,5000,True,True
22,used_parking,0.0003585772822637612,0.00016612600422134043,0.7997726266853022,5,5000,True,True
23,retail_outlet_quantity,0.00034677160677691886,8.799283697341948e-05,0.7997726266853022,5,5000,True,True
24,boarding_lounge_comfort,0.0003395930209072473,0.0006899398357831252,0.7997726266853022,5,5000,True,True
25,curbside_dropoff_ease,0.00031636107021171256,0.00040319313393141315,0.7997726266853022,5,5000,True,True
26,security_queue_organization,0.0003082690006888544,0.00016601867466941754,0.7997726266853022,5,5000,True,True
27,terminal_accessibility,0.00022680775059269465,0.0,0.7997726266853022,5,5000,True,True
28,flight_information_display_availability,0.00020900233775296152,0.00022776257833981764,0.7997726266853022,5,5000,True,True
29,internet_connection_speed,0.00018936523477242062,0.0,0.7997726266853022,5,5000,True,True
30,restroom_maintenance,0.00018043517140680087,8.735119793309515e-05,0.7997726266853022,5,5000,True,True
31,baggage_claim_time,0.0001634144065030707,0.0001417292860100692,0.7997726266853022,5,5000,True,True
32,immigration_control,0.00016036418882527936,0.0005329785238247027,0.7997726266853022,5,5000,True,True
33,checkin_counter_quantity,0.00010028188102908508,8.806790285687024e-05,0.7997726266853022,5,5000,True,True
34,checkin_method,8.91476027335969e-05,0.0004189420426669498,0.7997726266853022,5,5000,True,True
35,baggage_carousel_identification_ease,4.388786335871586e-05,0.00010979207208118147,0.7997726266853022,5,5000,True,True
36,baggage_integrity,4.246973506363272e-05,0.00017606420090497666,0.7997726266853022,5,5000,True,True
37,customs_queue_wait_time,0.0,0.0,0.7997726266853022,5,5000,True,True
38,customs_queue_organization,0.0,0.0,0.7997726266853022,5,5000,True,True
39,self_service_kiosk_quantity,0.0,0.0,0.7997726266853022,5,5000,True,True
40,airline_service,0.0,0.0,0.7997726266853022,5,5000,True,True
41,reserved_seat_availability,0.0,0.0,0.7997726266853022,5,5000,True,True
42,disembarkation_method_rating,0.0,0.0,0.7997726266853022,5,5000,True,True
43,immigration_queue_wait_time,0.0,0.0,0.7997726266853022,5,5000,True,True
44,immigration_queue_organization,0.0,0.0,0.7997726266853022,5,5000,True,True
45,immigration_staff_service,0.0,0.0,0.7997726266853022,5,5000,True,True
46,service_window_quantity,0.0,0.0,0.7997726266853022,5,5000,True,True
47,has_disability,0.0,0.0,0.7997726266853022,5,5000,True,True
48,requested_special_assistance,0.0,0.0,0.7997726266853022,5,5000,True,True
49,customs_staff_service,0.0,0.0,0.7997726266853022,5,5000,True,True
50,parking,-7.38385600962399e-06,0.0,0.7997726266853022,5,5000,True,True
51,retail_outlets,-4.5224902328677705e-05,0.0005397289869315921,0.7997726266853022,5,5000,True,True
52,uses_assistive_device,-8.164789164823993e-05,0.0001784711770265695,0.7997726266853022,5,5000,True,True
53,flight_type,-0.00011503206493037598,0.00044052560594775447,0.7997726266853022,5,5000,True,True
54,process,-0.00015439081740074024,0.00029503575204017484,0.7997726266853022,5,5000,True,True
55,baggage_claim_process,-0.00015833174838342234,0.00040623634280349705,0.7997726266853022,5,5000,True,True
56,parking_terminal_access_ease,-0.00018516145595457446,9.123387025401434e-05,0.7997726266853022,5,5000,True,True
57,parking_facility_quality,-0.00019231950533449282,9.121619742400128e-05,0.7997726266853022,5,5000,True,True
58,number_of_companions,-0.00020257890107922005,0.0005206285258008395,0.7997726266853022,5,5000,True,True
59,parking_space_availability_ease,-0.00020412411940051722,0.0,0.7997726266853022,5,5000,True,True
60,parking_value_for_money,-0.00023311262895231444,0.0,0.7997726266853022,5,5000,True,True
61,disembarkation_method_used,-0.00023456168195679084,0.000258204700879401,0.7997726266853022,5,5000,True,True
62,nationality,-0.00023604368691254596,8.813430080324488e-05,0.7997726266853022,5,5000,True,True
63,security_screening_process,-0.00027384709014801614,0.000797526209770338,0.7997726266853022,5,5000,True,True
64,checkin_service_time,-0.00028659545129079423,8.804833095004503e-05,0.7997726266853022,5,5000,True,True
65,used_airport_before_last_12_months,-0.000355218819464409,0.0008019288652231525,0.7997726266853022,5,5000,True,True
66,airport_internet,-0.0004004494171620188,0.0012500996059004708,0.7997726266853022,5,5000,True,True
67,connection,-0.0004037468254338039,0.0005118226153723342,0.7997726266853022,5,5000,True,True
68,network_access_ease,-0.00042276899094217946,0.0,0.7997726266853022,5,5000,True,True
69,traveling_alone,-0.000467571454616289,0.0004406042666187152,0.7997726266853022,5,5000,True,True
70,connection_wait_time,-0.00047208168160153276,0.0002276467877348091,0.7997726266853022,5,5000,True,True
71,household_income,-0.00047794928074500475,0.0010276277462543866,0.7997726266853022,5,5000,True,True
72,restrooms,-0.0005082477359225068,0.0013122846838470024,0.7997726266853022,5,5000,True,True
73,checkin_process,-0.0005858415190073795,0.000420069768937489,0.7997726266853022,5,5000,True,True
74,restroom_cleanliness,-0.0006324666137197177,0.00047302891656216944,0.7997726266853022,5,5000,True,True
75,power_outlet_availability,-0.0006423480287605532,0.0010577478810819476,0.7997726266853022,5,5000,True,True
