attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.20350877192982456,0.7960481898077211,0.7959989633341149,0.7734274711168164,0.8414804469273743,0.5466666666666666,0.5024561403508772
gender,Male,2902,0.19538249483115094,0.8043272392700429,0.8043613881993142,0.780550223928343,0.8448753462603878,0.5385940730530668,0.49758787043418334
age_group,18 to 25 years,458,0.1812227074235808,0.8200219853424751,0.8087240048505828,0.8727272727272727,0.8333333333333334,0.6004366812227074,0.62882096069869
age_group,26 to 35 years,1145,0.1851528384279476,0.8148728682984921,0.8148232910403583,0.8269230769230769,0.8071672354948806,0.4995633187772926,0.5117903930131005
age_group,36 to 45 years,956,0.15690376569037656,0.8430449068695239,0.839349331182362,0.8168316831683168,0.812807881773399,0.4225941422594142,0.4246861924686193
age_group,46 to 55 years,515,0.16116504854368932,0.8388446833146664,0.8386792417226165,0.832,0.8353413654618473,0.4854368932038835,0.48349514563106794
age_group,56 to 65 years,220,0.21363636363636362,0.7869226012083156,0.7835688121402407,0.74,0.7789473684210526,0.45454545454545453,0.4318181818181818
age_group,Over 65 years,73,0.1506849315068493,0.8496638089325108,0.8451301832208293,0.8064516129032258,0.8333333333333334,0.4246575342465753,0.410958904109589
age_group,Unknown,2385,0.23522012578616353,0.7611119743120854,0.7603014645959683,0.7219610476830087,0.8797054009819967,0.6243186582809225,0.5123689727463312
nationality,Brazilian,5593,0.19971392812444128,0.7999286444472978,0.7999477660792624,0.7757995384108144,0.8433691756272401,0.5422849991060253,0.49883783300554263
nationality,Foreign,159,0.18867924528301888,0.8110948456589315,0.8096264367816092,0.8181818181818182,0.8372093023255814,0.5534591194968553,0.5408805031446541
flight_type,Domestic,5187,0.19799498746867167,0.8014856120790588,0.801442837924166,0.7757957327736971,0.8517665130568356,0.5511856564488143,0.5020242914979757
flight_type,International,565,0.21238938053097345,0.7874037449624389,0.7869693084986049,0.7900763358778626,0.7610294117647058,0.46371681415929206,0.4814159292035398
process,Boarding,3367,0.17404217404217404,0.8259304526435842,0.8258570423917542,0.8272058823529411,0.8162031438935913,0.4847044847044847,0.4912384912384912
process,Disembarkation,2385,0.23522012578616353,0.7611119743120854,0.7603014645959683,0.7219610476830087,0.8797054009819967,0.6243186582809225,0.5123689727463312
trip_purpose,Business,1246,0.16292134831460675,0.8367775115019113,0.8333244373979851,0.8199233716475096,0.7970204841713222,0.4189406099518459,0.43097913322632425
trip_purpose,Family,198,0.15656565656565657,0.8434703603785729,0.8431101909362779,0.8543689320388349,0.8461538461538461,0.5202020202020202,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.2,0.803027754415475,0.7939444911690496,0.6875,0.8461538461538461,0.45714285714285713,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.1857682619647355,0.8142501312616052,0.8137228587731699,0.8249400479616307,0.8219832735961768,0.5251889168765743,0.5270780856423174
trip_purpose,Leisure and business,56,0.17857142857142858,0.8214285714285714,0.8214285714285714,0.8518518518518519,0.7931034482758621,0.48214285714285715,0.5178571428571429
trip_purpose,Other,129,0.20155038759689922,0.7986922103660243,0.7981463649494462,0.765625,0.8166666666666667,0.49612403100775193,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.09523809523809523,0.9051948051948051,0.9045454545454545,1.0,0.8333333333333334,0.47619047619047616,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.17391304347826086,0.8285607196401799,0.8215517241379311,0.918918918918919,0.7906976744186046,0.5362318840579711,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.23522012578616353,0.7611119743120854,0.7603014645959683,0.7219610476830087,0.8797054009819967,0.6243186582809225,0.5123689727463312
