rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.005367134439431709,0.0023958600406840413,0.7995684789524455,5,5000,True,True
2,overall_airport_cleanliness,0.00331181149623343,0.00028043446572235096,0.7995684789524455,5,5000,True,True
3,thermal_comfort,0.0028209926329120227,0.0008895768063311632,0.7995684789524455,5,5000,True,True
4,seat_availability,0.002793492915918283,0.00036130044798435946,0.7995684789524455,5,5000,True,True
5,ticket_purchase_process,0.002292687461303822,0.0014999882060520936,0.7995684789524455,5,5000,True,True
6,acoustic_comfort,0.002248856007033617,0.0007066141818659206,0.7995684789524455,5,5000,True,True
7,food_beverage_outlet_quantity,0.0018779216415767408,8.738499404383767e-05,0.7995684789524455,5,5000,True,True
8,retail_outlets,0.0016821608168170244,0.0008043185317884952,0.7995684789524455,5,5000,True,True
9,food_beverage_quality_variety,0.001016810831522097,0.00026779373268919393,0.7995684789524455,5,5000,True,True
10,food_beverage_price_quality,0.0009169082941864026,0.0004310607083441128,0.7995684789524455,5,5000,True,True
11,security_queue_wait_time,0.0009098224394353371,8.888213374077549e-05,0.7995684789524455,5,5000,True,True
12,customs_control,0.0008582737504574389,0.0005018815402352771,0.7995684789524455,5,5000,True,True
13,staff_courtesy,0.0007509187231520276,0.0,0.7995684789524455,5,5000,True,True
14,traveling_alone,0.0007200996398779358,0.00045466704963643387,0.7995684789524455,5,5000,True,True
15,checkin_counter_quantity,0.0007045433109090116,8.805031459090754e-05,0.7995684789524455,5,5000,True,True
16,security_staff_service,0.0006989884438526773,0.00016723882932103334,0.7995684789524455,5,5000,True,True
17,checkin_queue_wait_time,0.0005822362063040654,9.043454116528074e-05,0.7995684789524455,5,5000,True,True
18,checkin_queue_organization,0.0005020833822472426,0.0001672402726866557,0.7995684789524455,5,5000,True,True
19,security_queue_organization,0.0004781524231928458,0.00030415772385345487,0.7995684789524455,5,5000,True,True
20,number_of_companions,0.0004402084078489521,0.0002564649882674862,0.7995684789524455,5,5000,True,True
21,retail_quality_variety,0.00042834550499106785,9.050782528215074e-05,0.7995684789524455,5,5000,True,True
22,ticket_purchased_by,0.0003997746840331606,0.0013734115924704522,0.7995684789524455,5,5000,True,True
23,internet_connection_speed,0.0003860509790147848,0.0,0.7995684789524455,5,5000,True,True
24,household_income,0.00035409537036137364,0.0006257842347886013,0.7995684789524455,5,5000,True,True
25,immigration_control,0.0003497050267328605,0.0007433600746111381,0.7995684789524455,5,5000,True,True
26,airline_service,0.00027836993846306333,0.0001118203933302227,0.7995684789524455,5,5000,True,True
27,process,0.00022867886236472846,0.000477482318150551,0.7995684789524455,5,5000,True,True
28,terminal_accessibility,0.00022695145676232542,0.0,0.7995684789524455,5,5000,True,True
29,curbside_dropoff_ease,0.00022651395259407626,0.000726650109442435,0.7995684789524455,5,5000,True,True
30,power_outlet_availability,0.0002223156975364793,0.0005267421661997488,0.7995684789524455,5,5000,True,True
31,reserved_seat_availability,0.0002041713967297909,0.0,0.7995684789524455,5,5000,True,True
32,service_window_quantity,0.00019670786937497908,0.0,0.7995684789524455,5,5000,True,True
33,disembarkation_method_used,0.00019670786937497908,0.0,0.7995684789524455,5,5000,True,True
34,immigration_staff_service,0.00019670786937497908,0.0,0.7995684789524455,5,5000,True,True
35,immigration_queue_organization,0.00019670786937497908,0.0,0.7995684789524455,5,5000,True,True
36,immigration_queue_wait_time,0.00019670786937497908,0.0,0.7995684789524455,5,5000,True,True
37,retail_outlet_quantity,0.00018344221971122732,3.279758944384863e-06,0.7995684789524455,5,5000,True,True
38,retail_price_quality,0.00018197546692133582,0.0,0.7995684789524455,5,5000,True,True
39,network_access_ease,0.00017470656335771828,0.0,0.7995684789524455,5,5000,True,True
40,ticket_purchase_channel,0.00016050478600682094,0.0004980997152920178,0.7995684789524455,5,5000,True,True
41,has_disability,0.00012250283803787453,0.00011182927958624297,0.7995684789524455,5,5000,True,True
