attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.1975438596491228,0.8016481841599272,0.8015835476646511,0.7703795892968264,0.8645251396648045,0.5638596491228071,0.5024561403508772
gender,Male,2902,0.18056512749827705,0.8187770970479263,0.8188276951597568,0.7829028290282903,0.881578947368421,0.5603032391454169,0.49758787043418334
age_group,18 to 25 years,458,0.1572052401746725,0.8407827221193463,0.8275926971579146,0.8529411764705882,0.90625,0.6681222707423581,0.62882096069869
age_group,26 to 35 years,1145,0.16506550218340613,0.8348242783522092,0.8346676506922941,0.828099173553719,0.8549488054607508,0.5283842794759825,0.5117903930131005
age_group,36 to 45 years,956,0.15690376569037656,0.8436310946816385,0.8406687910827855,0.7962962962962963,0.8472906403940886,0.45188284518828453,0.4246861924686193
age_group,46 to 55 years,515,0.13980582524271845,0.8601361859157405,0.8601809954751132,0.8265682656826568,0.8995983935742972,0.5262135922330097,0.48349514563106794
age_group,56 to 65 years,220,0.20909090909090908,0.7913647412013014,0.7879473640097225,0.7474747474747475,0.7789473684210526,0.45,0.4318181818181818
age_group,Over 65 years,73,0.1643835616438356,0.8369240348692403,0.8340909090909091,0.75,0.9,0.4931506849315068,0.410958904109589
age_group,Unknown,2385,0.2289308176100629,0.7676219298692248,0.7668456401794461,0.7277628032345014,0.88379705400982,0.6222222222222222,0.5123689727463312
nationality,Brazilian,5593,0.18916502771321295,0.8101357523716146,0.8101620236401037,0.7761479591836735,0.8724014336917563,0.5607008760951189,0.49883783300554263
nationality,Foreign,159,0.18238993710691823,0.8156610265281263,0.813357619914997,0.7938144329896907,0.8953488372093024,0.610062893081761,0.5408805031446541
flight_type,Domestic,5187,0.18912666281087334,0.810040815973655,0.8099883146357423,0.7763023493360572,0.8755760368663594,0.5662232504337767,0.5020242914979757
flight_type,International,565,0.18761061946902655,0.8123470644672368,0.8123840910230065,0.7804054054054054,0.8492647058823529,0.5238938053097345,0.4814159292035398
process,Boarding,3367,0.16067716067716067,0.8392743614368484,0.8393044687555165,0.8181818181818182,0.8651753325272068,0.5194535194535195,0.4912384912384912
process,Disembarkation,2385,0.2289308176100629,0.7676219298692248,0.7668456401794461,0.7277628032345014,0.88379705400982,0.6222222222222222,0.5123689727463312
trip_purpose,Business,1246,0.15409309791332262,0.846239256273244,0.843640850814632,0.8085867620751341,0.8417132216014898,0.44863563402889245,0.43097913322632425
trip_purpose,Family,198,0.12626262626262627,0.8734944301787987,0.8730085430616485,0.8623853211009175,0.9038461538461539,0.5505050505050505,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.2,0.803027754415475,0.7939444911690496,0.6875,0.8461538461538461,0.45714285714285713,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.1769521410579345,0.8223218008281676,0.8213898456371944,0.8075221238938053,0.8721624850657109,0.5692695214105793,0.5270780856423174
trip_purpose,Leisure and business,56,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.8888888888888888,0.8275862068965517,0.48214285714285715,0.5178571428571429
trip_purpose,Other,129,0.15503875968992248,0.8449612403100775,0.8442028985507246,0.8333333333333334,0.8333333333333334,0.46511627906976744,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.14285714285714285,0.8557983193277311,0.851764705882353,0.8461538461538461,0.9166666666666666,0.6190476190476191,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.07246376811594203,0.9277935948784765,0.9234184239733629,0.9523809523809523,0.9302325581395349,0.6086956521739131,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.2289308176100629,0.7676219298692248,0.7668456401794461,0.7277628032345014,0.88379705400982,0.6222222222222222,0.5123689727463312
