train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.8180463081909541,0.0019316558063468881,0.805098253492338,0.00448537331428846
8281,0.8159829603108013,0.002708000797343891,0.8072428795615096,0.004970782323131822
12422,0.8131178648081816,0.002175357360444803,0.8083725395603141,0.004826823686970784
16563,0.8119739570591584,0.001958023543419425,0.809077080881621,0.005289831611793941
20704,0.8126654761159375,0.0018456758259043635,0.8095928572877232,0.004773624163949701
24845,0.8112472374250123,0.0015695334000284814,0.8094957669254648,0.00474160073362169
28986,0.8110605014425912,0.0011412781994153097,0.8102448382719034,0.0046537683193523475
33127,0.8120883688076465,0.0009363038747526989,0.810281761737059,0.004141056353503343
37268,0.8118505609813195,0.0010541305364046116,0.81069962378081,0.0048212853285122806
41409,0.8119811543259849,0.0010934901975576978,0.810434039895565,0.0047931663986998906
