test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8097303349754615,0.8097303349754615,0.8105006954102921,0.0
numeric_noise,0.01,0.800362295316013,0.800362295316013,0.8023296244784422,0.009368039659448546
numeric_noise,0.03,0.7998564228785747,0.7998564228785747,0.8018080667593881,0.009873912096886817
numeric_noise,0.05,0.7989153524570205,0.7989153524570207,0.8009388038942976,0.01081498251844104
numeric_noise,0.1,0.7974543072016811,0.7974543072016809,0.7993741307371349,0.012276027773780451
missing_values,0.01,0.8081464628900188,0.8081464628900188,0.8089360222531293,0.0015838720854427502
missing_values,0.03,0.8012835182679312,0.8012835182679312,0.8019819193324061,0.008446816707530336
missing_values,0.05,0.7947543096621268,0.7947543096621269,0.7955493741307371,0.014976025313334751
categorical_replacement,0.01,0.8087166015218461,0.8087166015218461,0.8094575799721836,0.0010137334536154397
categorical_replacement,0.03,0.8080757194551864,0.8080757194551864,0.8087621696801113,0.0016546155202751267
categorical_replacement,0.05,0.8103159236173516,0.8103159236173516,0.8110222531293463,-0.0005855886418900669
