rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.031231464121506347,0.0020957754477639277,0.8067167418984579,5,5000,True,True
2,curbside_dropoff_ease,0.015895187511049326,0.0019890941564926056,0.8067167418984579,5,5000,True,True
3,boarding_lounge_comfort,0.007423453891564869,0.0017571659515377644,0.8067167418984579,5,5000,True,True
4,overall_airport_cleanliness,0.0073277666625638505,0.0007573134617383167,0.8067167418984579,5,5000,True,True
5,ticket_purchase_process,0.0039324277639479766,0.0008230419160117738,0.8067167418984579,5,5000,True,True
6,signage,0.0034812233812148373,0.0011785559189477536,0.8067167418984579,5,5000,True,True
7,parking,0.0034241300594056723,8.760576914748463e-05,0.8067167418984579,5,5000,True,True
8,thermal_comfort,0.0032549197027845088,0.0002627250094859991,0.8067167418984579,5,5000,True,True
9,trips_last_12_months,0.00284592070192109,0.002055202274211407,0.8067167418984579,5,5000,True,True
10,ticket_purchased_by,0.002458129384579277,0.0013775239126088859,0.8067167418984579,5,5000,True,True
11,seat_availability,0.0019806015818890853,0.0004197643995137179,0.8067167418984579,5,5000,True,True
12,checkin_method,0.0018977697019669337,0.0008374208812639881,0.8067167418984579,5,5000,True,True
13,food_beverage_outlet_quantity,0.001762069532363908,0.0005644198689984995,0.8067167418984579,5,5000,True,True
14,flight_type,0.0010917614106795703,0.00041397798533125327,0.8067167418984579,5,5000,True,True
15,parking_space_availability_ease,0.0010527339973632754,0.0,0.8067167418984579,5,5000,True,True
16,acoustic_comfort,0.000876316510182229,0.0005986983150581759,0.8067167418984579,5,5000,True,True
17,arrival_lead_time,0.0008410059462457875,0.0003776518174473106,0.8067167418984579,5,5000,True,True
18,baggage_claim_process,0.0008211087485997748,0.00061093917830371,0.8067167418984579,5,5000,True,True
19,internet_connection_speed,0.0007023952331030259,8.755074134206575e-05,0.8067167418984579,5,5000,True,True
20,checkin_process,0.0006508023269976126,0.00030531188769075457,0.8067167418984579,5,5000,True,True
21,household_income,0.0006095903598348773,0.0008346111936862309,0.8067167418984579,5,5000,True,True
22,parking_terminal_access_ease,0.0005987463538551063,9.226961616078382e-05,0.8067167418984579,5,5000,True,True
23,staff_courtesy,0.0005559960869626623,0.0,0.8067167418984579,5,5000,True,True
24,ticket_purchase_channel,0.00045736738203894234,0.0006316348563079391,0.8067167418984579,5,5000,True,True
25,network_access_ease,0.0004324130776932167,0.00018424639908288994,0.8067167418984579,5,5000,True,True
