attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.19473684210526315,0.8047657911342397,0.804714965333897,0.7794773741236456,0.854050279329609,0.5505263157894736,0.5024561403508772
gender,Male,2902,0.17677463818056513,0.8229532263783491,0.8229847131235988,0.797444089456869,0.8642659279778393,0.5392832529290145,0.49758787043418334
age_group,18 to 25 years,458,0.1615720524017467,0.8378095472495337,0.8256476737247156,0.8639455782312925,0.8819444444444444,0.6419213973799127,0.62882096069869
age_group,26 to 35 years,1145,0.15982532751091702,0.8401456326171969,0.8400336216827791,0.8397976391231029,0.8498293515358362,0.5179039301310043,0.5117903930131005
age_group,36 to 45 years,956,0.1506276150627615,0.8499712912647684,0.8472762127908835,0.7990867579908676,0.8620689655172413,0.4581589958158996,0.4246861924686193
age_group,46 to 55 years,515,0.1378640776699029,0.8621161696146203,0.862133843096889,0.832089552238806,0.8955823293172691,0.5203883495145631,0.48349514563106794
age_group,56 to 65 years,220,0.19090909090909092,0.8090909090909091,0.8054736842105263,0.7789473684210526,0.7789473684210526,0.4318181818181818,0.4318181818181818
age_group,Over 65 years,73,0.1643835616438356,0.8369240348692403,0.8340909090909091,0.75,0.9,0.4931506849315068,0.410958904109589
age_group,Unknown,2385,0.2272536687631027,0.7708710253373754,0.7702824984859298,0.7411347517730497,0.8551554828150573,0.5911949685534591,0.5123689727463312
nationality,Brazilian,5593,0.18558912926872878,0.8140470220846637,0.8140656442594901,0.7877792378449409,0.8594982078853046,0.5442517432504916,0.49883783300554263
nationality,Foreign,159,0.18867924528301888,0.8108073828908269,0.8091389244558258,0.8111111111111111,0.8488372093023255,0.5660377358490566,0.5408805031446541
flight_type,Domestic,5187,0.18488529014844804,0.8146797014444561,0.8146417961475724,0.789103690685413,0.8621351766513057,0.54848660111818,0.5020242914979757
flight_type,International,565,0.1929203539823009,0.8071207431799684,0.8070699760971652,0.7820069204152249,0.8308823529411765,0.511504424778761,0.4814159292035398
process,Boarding,3367,0.1562221562221562,0.8437672328892318,0.8437761763524905,0.8271461716937355,0.8621523579201935,0.5120285120285121,0.4912384912384912
process,Disembarkation,2385,0.2272536687631027,0.7708710253373754,0.7702824984859298,0.7411347517730497,0.8551554828150573,0.5911949685534591,0.5123689727463312
trip_purpose,Business,1246,0.15248796147672553,0.8476738907341467,0.8448900327071452,0.8171846435100548,0.8324022346368715,0.4390048154093098,0.43097913322632425
trip_purpose,Family,198,0.1414141414141414,0.8584989681763876,0.8580645161290323,0.8584905660377359,0.875,0.5353535353535354,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.17142857142857143,0.8306122448979592,0.8214285714285714,0.7333333333333333,0.8461538461538461,0.42857142857142855,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.17002518891687657,0.8293791447992265,0.8285253564589742,0.8160535117056856,0.8745519713261649,0.5648614609571788,0.5270780856423174
trip_purpose,Leisure and business,56,0.125,0.8748803827751195,0.8749601275917065,0.9230769230769231,0.8275862068965517,0.4642857142857143,0.5178571428571429
trip_purpose,Other,129,0.13953488372093023,0.8604651162790697,0.8597826086956522,0.85,0.85,0.46511627906976744,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.047619047619047616,0.9519327731092437,0.9505882352941177,0.9230769230769231,1.0,0.6190476190476191,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.08695652173913043,0.913618587531631,0.9087301587301588,0.9512195121951219,0.9069767441860465,0.5942028985507246,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.2272536687631027,0.7708710253373754,0.7702824984859298,0.7411347517730497,0.8551554828150573,0.5911949685534591,0.5123689727463312
