train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.8068380712938431,0.003360770353272992,0.7961534261650305,0.004049345882465732
8281,0.8154494052736387,0.0014569905663406948,0.8027075385339042,0.005257762044285385
12422,0.8176347642811468,0.0027056526525787382,0.8073250059258669,0.004955270241325587
16563,0.8215393927878563,0.0014920082766514467,0.808849311358512,0.004256969988930725
20704,0.8237005013929153,0.0011822322293438493,0.8113364269279577,0.005222091564658056
24845,0.8229146044558628,0.0008378659981024071,0.8118444986882494,0.0047043456406385695
28986,0.8227639447239747,0.0010228115084296254,0.8127717547927397,0.004069489516970791
33127,0.8246186470111965,0.0010100353648049175,0.8133323636599064,0.003818444981640779
37268,0.8240127176072573,0.0011041630718369938,0.8127882654874202,0.004881185244343216
41409,0.824874543990483,0.0014252422968662744,0.8133943382753044,0.00460706163102954
