rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.05078876902223448,0.003290002723415585,0.8125160284744393,5,5000,True,True
2,curbside_dropoff_ease,0.02638994621424069,0.003308906500720649,0.8125160284744393,5,5000,True,True
3,overall_airport_cleanliness,0.018565577535564693,0.0024985621441748498,0.8125160284744393,5,5000,True,True
4,boarding_lounge_comfort,0.01251693444003239,0.0026792104701857345,0.8125160284744393,5,5000,True,True
5,thermal_comfort,0.006186403685204067,0.00031593689475955194,0.8125160284744393,5,5000,True,True
6,ticket_purchase_process,0.005469426607855899,0.0010248985051439753,0.8125160284744393,5,5000,True,True
7,seat_availability,0.00445102397876509,0.0003828696127961791,0.8125160284744393,5,5000,True,True
8,signage,0.00358010698364124,0.0006203872484278796,0.8125160284744393,5,5000,True,True
9,used_airport_before_last_12_months,0.003428450133708938,0.001740886576213236,0.8125160284744393,5,5000,True,True
10,connection,0.0030646302773090993,0.0016686621252683174,0.8125160284744393,5,5000,True,True
11,acoustic_comfort,0.0028388477615807206,0.0005642271999206019,0.8125160284744393,5,5000,True,True
12,transport_options_to_airport,0.0028320792853572473,0.0010838251602420601,0.8125160284744393,5,5000,True,True
13,arrival_lead_time,0.0027415063047940614,0.0003661935645153345,0.8125160284744393,5,5000,True,True
14,food_beverage_outlet_quantity,0.002721549994417449,0.0001018738120713556,0.8125160284744393,5,5000,True,True
15,trips_last_12_months,0.002661789365803635,0.0012797220423105304,0.8125160284744393,5,5000,True,True
16,flight_information_display_availability,0.002369074075123945,0.0006978622265585473,0.8125160284744393,5,5000,True,True
17,ticket_purchase_channel,0.00221652245018471,0.0006676362015553014,0.8125160284744393,5,5000,True,True
18,used_parking,0.0021918870983389516,0.0019187927942668902,0.8125160284744393,5,5000,True,True
19,trip_purpose,0.002181136710131293,0.000649582867089648,0.8125160284744393,5,5000,True,True
20,parking,0.0019185101926857406,0.0,0.8125160284744393,5,5000,True,True
21,restrooms,0.0016489634573639167,0.0009488516223599393,0.8125160284744393,5,5000,True,True
22,ticket_purchased_by,0.0016094624480813779,0.0012718101934919071,0.8125160284744393,5,5000,True,True
23,checkin_method,0.0014805648298911623,0.00046697615993276047,0.8125160284744393,5,5000,True,True
24,household_income,0.0014491052289196337,0.001039197169554114,0.8125160284744393,5,5000,True,True
25,disembarkation_method_rating,0.0013556736742459385,0.0,0.8125160284744393,5,5000,True,True
26,airport_internet,0.0013235902752795736,0.0009285688778781415,0.8125160284744393,5,5000,True,True
27,security_screening_process,0.0012988404172483703,0.0009643331852711994,0.8125160284744393,5,5000,True,True
28,security_staff_service,0.0012361661671433932,0.00032611259708845456,0.8125160284744393,5,5000,True,True
29,restroom_maintenance,0.0012176941549777887,0.00037417852761370833,0.8125160284744393,5,5000,True,True
30,flight_type,0.0010752739169562764,0.0005501167187831518,0.8125160284744393,5,5000,True,True
31,security_queue_organization,0.0010345872647881116,0.0002268924379433076,0.8125160284744393,5,5000,True,True
32,education,0.0010195556130576655,0.0013824701057747629,0.8125160284744393,5,5000,True,True
33,baggage_claim_process,0.0010057737957718694,0.0007763465588419799,0.8125160284744393,5,5000,True,True
