test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8144025463923278,0.8144025463923277,0.8150208623087621,0.0
numeric_noise,0.01,0.7986609553643642,0.7986609553643642,0.8007649513212796,0.015741591027963575
numeric_noise,0.03,0.79957524083759,0.7995752408375899,0.8016342141863699,0.014827305554737769
numeric_noise,0.05,0.7977460338844905,0.7977460338844906,0.7998956884561892,0.016656512507837284
numeric_noise,0.1,0.7966537334746447,0.7966537334746447,0.7986787204450626,0.017748812917683043
missing_values,0.01,0.8111584875923588,0.8111584875923588,0.8117176634214186,0.0032440587999690296
missing_values,0.03,0.8049318733184946,0.8049318733184946,0.8054589707927677,0.009470673073833202
missing_values,0.05,0.7985071623721525,0.7985071623721525,0.7990264255910987,0.015895384020175318
categorical_replacement,0.01,0.8147662435957148,0.8147662435957147,0.8153685674547984,-0.0003636972033870256
categorical_replacement,0.03,0.8134838205402721,0.8134838205402722,0.8139777468706537,0.0009187258520556574
categorical_replacement,0.05,0.8120480233181291,0.8120480233181291,0.8125869262865091,0.0023545230741987
