feature,dtype,feature_type,missing_count,missing_rate,n_unique,is_applicability_indicator,mean,std,min,median,max,top_value,top_value_share
transport_to_airport,object,categorical,1,1.7387070974023714e-05,16,False,,,,,,Not applicable,0.6121398640307408
trip_purpose,object,categorical,24231,0.42130611677156865,16,False,,,,,,Leisure,0.47111137818105336
month,object,categorical,0,0.0,12,False,,,,,,September,0.09813262857738986
ticket_purchase_channel,object,categorical,16140,0.28062732552074277,12,False,,,,,,Not applicable,0.585657659399623
uses_assistive_device,object,categorical,1134,0.019716938484542895,12,False,,,,,,Not applicable,0.9878857750975524
requested_special_assistance,object,categorical,1027,0.017856521890322358,11,False,,,,,,Not applicable,0.9860144812080656
disembarkation_method_used,object,categorical,23949,0.416402962756894,11,False,,,,,,Not applicable,0.99159839118129
household_income,object,categorical,24231,0.42130611677156865,8,False,,,,,,Between 4 and 10 minimum wages,0.28128473995733555
education,object,categorical,24231,0.42130611677156865,7,False,,,,,,Higher education,0.49677012288555716
trips_last_12_months,object,categorical,0,0.0,7,False,,,,,,2 to 3,0.26741315158048473
checkin_method,object,categorical,10976,0.1908404910108843,6,False,,,,,,Not applicable,0.5206712793845889
age_group,object,categorical,24231,0.42130611677156865,6,False,,,,,,26 to 35 years,0.33798035032899676
has_disability,object,categorical,0,0.0,5,False,,,,,,No,0.9862642139305212
number_of_companions,object,categorical,46143,0.8022916159543764,4,False,,,,,,1 person,0.618239380881189
connection,object,categorical,0,0.0,3,False,,,,,,Not applicable,0.42130611677156865
ticket_purchased_by,object,categorical,0,0.0,3,False,,,,,,Not applicable,0.42130611677156865
used_parking,object,categorical,29269,0.5089021803387002,3,False,,,,,,Not applicable,0.8578863515666489
used_airport_before_last_12_months,object,categorical,3286,0.05713391522064193,3,False,,,,,,Not applicable,0.44683558309360477
process,object,categorical,0,0.0,2,False,,,,,,Boarding,0.5786938832284313
flight_type,object,categorical,0,0.0,2,False,,,,,,Domestic,0.9042667872170255
