feature,dtype,feature_type,missing_count,missing_rate,n_unique,is_applicability_indicator,mean,std,min,median,max,top_value,top_value_share
transport_to_airport,object,categorical,1,1.7387070974023714e-05,16,False,,,,,,Not applicable,0.6121398640307408
trip_purpose,object,categorical,24231,0.42130611677156865,16,False,,,,,,Leisure,0.47111137818105336
month,object,categorical,0,0.0,12,False,,,,,,September,0.09813262857738986
ticket_purchase_channel,object,categorical,16140,0.28062732552074277,12,False,,,,,,Not applicable,0.585657659399623
uses_assistive_device,object,categorical,1134,0.019716938484542895,12,False,,,,,,Not applicable,0.9878857750975524
requested_special_assistance,object,categorical,1027,0.017856521890322358,11,False,,,,,,Not applicable,0.9860144812080656
disembarkation_method_used,object,categorical,23949,0.416402962756894,11,False,,,,,,Not applicable,0.99159839118129
household_income,object,categorical,24231,0.42130611677156865,8,False,,,,,,Between 4 and 10 minimum wages,0.28128473995733555
education,object,categorical,24231,0.42130611677156865,7,False,,,,,,Higher education,0.49677012288555716
trips_last_12_months,object,categorical,0,0.0,7,False,,,,,,2 to 3,0.26741315158048473
checkin_method,object,categorical,10976,0.1908404910108843,6,False,,,,,,Not applicable,0.5206712793845889
age_group,object,categorical,24231,0.42130611677156865,6,False,,,,,,26 to 35 years,0.33798035032899676
has_disability,object,categorical,0,0.0,5,False,,,,,,No,0.9862642139305212
number_of_companions,object,categorical,46143,0.8022916159543764,4,False,,,,,,1 person,0.618239380881189
connection,object,categorical,0,0.0,3,False,,,,,,Not applicable,0.42130611677156865
ticket_purchased_by,object,categorical,0,0.0,3,False,,,,,,Not applicable,0.42130611677156865
used_parking,object,categorical,29269,0.5089021803387002,3,False,,,,,,Not applicable,0.8578863515666489
used_airport_before_last_12_months,object,categorical,3286,0.05713391522064193,3,False,,,,,,Not applicable,0.44683558309360477
process,object,categorical,0,0.0,2,False,,,,,,Boarding,0.5786938832284313
flight_type,object,categorical,0,0.0,2,False,,,,,,Domestic,0.9042667872170255
nationality,object,categorical,0,0.0,2,False,,,,,,Brazilian,0.971415655318705
gender,object,categorical,0,0.0,2,False,,,,,,Male,0.502225545084675
traveling_alone,object,categorical,24231,0.42130611677156865,2,False,,,,,,Yes,0.6583541147132169
arrival_lead_time,float64,numeric,35207,0.612146607782453,6,False,7190.357286950285,2737.4019272033024,2700.0,6300.0,10800.0,,
connection_wait_time,float64,numeric,46539,0.8091768960600897,6,False,8981.220956719817,2688.524297395062,2700.0,10800.0,10800.0,,
disembarkation_method_rating,float64,numeric,57184,0.9942622665785722,5,False,3.7393939393939393,1.171583345012066,1.0,4.0,5.0,,
curbside_dropoff_ease,float64,numeric,36556,0.635601766526411,5,False,4.131214810573528,0.9534961465621858,1.0,4.0,5.0,,
transport_options_to_airport,float64,numeric,40685,0.7073929825781549,5,False,3.8078317190563906,1.0550716193252738,1.0,4.0,5.0,,
checkin_process,float64,numeric,49025,0.8524011545015127,5,False,4.075745081870656,1.1223615994372216,1.0,4.0,5.0,,
checkin_queue_wait_time,float64,numeric,55671,0.9679556281948742,5,False,2.6706456863809005,1.3050228555233134,1.0,3.0,5.0,,
checkin_queue_organization,float64,numeric,55692,0.9683207566853288,5,False,2.875411635565313,1.2768195749394504,1.0,3.0,5.0,,
self_service_kiosk_quantity,float64,numeric,57174,0.9940883958688319,5,False,3.2205882352941178,1.142444569316813,1.0,3.0,5.0,,
checkin_counter_quantity,float64,numeric,55932,0.9724936537190945,5,False,2.665613147914033,1.2397867017907072,1.0,3.0,5.0,,
staff_courtesy,float64,numeric,55927,0.9724067183642243,5,False,3.6156269691241336,1.1967622491275252,1.0,4.0,5.0,,
checkin_service_time,float64,numeric,55927,0.9724067183642243,5,False,3.293635790800252,1.2512706584550939,1.0,4.0,5.0,,
ticket_purchase_process,float64,numeric,40414,0.7026810863441945,5,False,4.247076023391813,0.8265968796084457,1.0,4.0,5.0,,
