attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.19894736842105262,0.8003599191846922,0.8002996833243223,0.7715003138731952,0.8582402234636871,0.5589473684210526,0.5024561403508772
gender,Male,2902,0.17849758787043418,0.821018988616754,0.8210618236115601,0.7890137328339576,0.8753462603878116,0.5520330806340454,0.49758787043418334
age_group,18 to 25 years,458,0.1572052401746725,0.843159075107892,0.8324117742722394,0.8802816901408451,0.8680555555555556,0.6200873362445415,0.62882096069869
age_group,26 to 35 years,1145,0.1703056768558952,0.8297036802489853,0.8296194663050602,0.8353344768439108,0.8310580204778157,0.509170305676856,0.5117903930131005
age_group,36 to 45 years,956,0.14539748953974896,0.8547154654802653,0.8514623609038525,0.8248175182481752,0.8349753694581281,0.4299163179916318,0.4246861924686193
age_group,46 to 55 years,515,0.14757281553398058,0.8524271844660194,0.8522662076878944,0.8473895582329317,0.8473895582329317,0.48349514563106794,0.48349514563106794
age_group,56 to 65 years,220,0.19090909090909092,0.8093154325513195,0.8059475806451613,0.7731958762886598,0.7894736842105263,0.4409090909090909,0.4318181818181818
age_group,Over 65 years,73,0.1506849315068493,0.8504598732909234,0.847483380816714,0.7714285714285715,0.9,0.4794520547945205,0.410958904109589
age_group,Unknown,2385,0.23060796645702306,0.7645247062796932,0.7636101447875474,0.71875,0.9034369885433715,0.6440251572327044,0.5123689727463312
nationality,Brazilian,5593,0.18880743786876453,0.8106129524070091,0.8106367971108539,0.7791371538956857,0.8673835125448028,0.5553370284283926,0.49883783300554263
nationality,Foreign,159,0.18238993710691823,0.8172602240526768,0.8157442557442557,0.8202247191011236,0.8488372093023255,0.559748427672956,0.5408805031446541
flight_type,Domestic,5187,0.18681318681318682,0.8124304774089246,0.8123806872793458,0.779678412589805,0.8751920122887865,0.5635241951031424,0.5020242914979757
flight_type,International,565,0.20530973451327433,0.7946902654867256,0.7944062437261594,0.7867647058823529,0.7867647058823529,0.4814159292035398,0.4814159292035398
process,Boarding,3367,0.1588951588951589,0.8411086264014851,0.841063959901085,0.8372513562386981,0.839782345828295,0.49272349272349275,0.4912384912384912
process,Disembarkation,2385,0.23060796645702306,0.7645247062796932,0.7636101447875474,0.71875,0.9034369885433715,0.6440251572327044,0.5123689727463312
trip_purpose,Business,1246,0.14847512038523275,0.8513657316132094,0.8483242364723261,0.8333333333333334,0.819366852886406,0.42375601926163725,0.43097913322632425
trip_purpose,Family,198,0.1414141414141414,0.858643667126038,0.8583546244251405,0.8725490196078431,0.8557692307692307,0.5151515151515151,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.17142857142857143,0.8285714285714286,0.8164335664335665,0.7692307692307693,0.7692307692307693,0.37142857142857144,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.17632241813602015,0.823562998340284,0.8229471119004197,0.8264947245017585,0.8422939068100358,0.5371536523929471,0.5270780856423174
trip_purpose,Leisure and business,56,0.16071428571428573,0.8391319207108682,0.8392344497607656,0.8846153846153846,0.7931034482758621,0.4642857142857143,0.5178571428571429
trip_purpose,Other,129,0.16279069767441862,0.8374051407588738,0.8370526315789474,0.8,0.8666666666666667,0.5038759689922481,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.047619047619047616,0.9525988885256621,0.9519450800915332,1.0,0.9166666666666666,0.5238095238095238,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.07246376811594203,0.9277935948784762,0.9234184239733629,0.9523809523809523,0.9302325581395349,0.6086956521739131,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.23060796645702306,0.7645247062796932,0.7636101447875474,0.71875,0.9034369885433715,0.6440251572327044,0.5123689727463312
