attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.20035087719298245,0.7989177226283757,0.7988556644314,0.7695679398872887,0.8582402234636871,0.5603508771929825,0.5024561403508772
gender,Male,2902,0.17953135768435563,0.8200628809654618,0.8201020579234104,0.790434235368156,0.8698060941828255,0.5475534114403859,0.49758787043418334
age_group,18 to 25 years,458,0.1615720524017467,0.8384279475982532,0.8269403594771242,0.8715277777777778,0.8715277777777778,0.62882096069869,0.62882096069869
age_group,26 to 35 years,1145,0.16593886462882096,0.8340537894914031,0.8339546201144268,0.8367346938775511,0.8395904436860068,0.5135371179039301,0.5117903930131005
age_group,36 to 45 years,956,0.14539748953974896,0.8548786242286839,0.851820133255276,0.8186157517899761,0.8448275862068966,0.4382845188284519,0.4246861924686193
age_group,46 to 55 years,515,0.14757281553398058,0.8524271844660194,0.8522662076878944,0.8473895582329317,0.8473895582329317,0.48349514563106794,0.48349514563106794
age_group,56 to 65 years,220,0.19090909090909092,0.8095069376185796,0.806386723661051,0.7676767676767676,0.8,0.45,0.4318181818181818
age_group,Over 65 years,73,0.1780821917808219,0.8232707593438187,0.8197530864197531,0.7428571428571429,0.8666666666666667,0.4794520547945205,0.410958904109589
age_group,Unknown,2385,0.2339622641509434,0.7618926060990434,0.7610374919198448,0.7201591511936339,0.8887070376432079,0.6322851153039832,0.5123689727463312
nationality,Brazilian,5593,0.18988020740210979,0.8095667320562868,0.809590075520705,0.7788896061975468,0.8648745519713261,0.5539066690505989,0.49883783300554263
nationality,Foreign,159,0.18867924528301888,0.8110948456589315,0.8096264367816093,0.8181818181818182,0.8372093023255814,0.5534591194968553,0.5408805031446541
flight_type,Domestic,5187,0.18816271447850394,0.8111257470014375,0.8110772330114334,0.779532967032967,0.8717357910906298,0.5614035087719298,0.5020242914979757
flight_type,International,565,0.20530973451327433,0.7947147328769344,0.7944578252797432,0.7846715328467153,0.7904411764705882,0.4849557522123894,0.4814159292035398
process,Boarding,3367,0.1585981585981586,0.8414135941146746,0.8413847020289598,0.83373063170441,0.8458282950423216,0.4983664983664984,0.4912384912384912
process,Disembarkation,2385,0.2339622641509434,0.7618926060990434,0.7610374919198448,0.7201591511936339,0.8887070376432079,0.6322851153039832,0.5123689727463312
trip_purpose,Business,1246,0.14847512038523275,0.8515080095141906,0.848606352215013,0.8283582089552238,0.8268156424581006,0.4301765650080257,0.43097913322632425
trip_purpose,Family,198,0.15151515151515152,0.8484848484848485,0.8480973813420623,0.8557692307692307,0.8557692307692307,0.5252525252525253,0.5252525252525253
trip_purpose,Funeral,9,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,Health,35,0.11428571428571428,0.8834368530020703,0.8731884057971013,0.9090909090909091,0.7692307692307693,0.3142857142857143,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.1756926952141058,0.824073726671262,0.8233810467451113,0.8221709006928406,0.8506571087216248,0.5453400503778337,0.5270780856423174
trip_purpose,Leisure and business,56,0.16071428571428573,0.8391319207108682,0.8392344497607656,0.8846153846153846,0.7931034482758621,0.4642857142857143,0.5178571428571429
trip_purpose,Other,129,0.15503875968992248,0.845147854127711,0.8447279730380357,0.8125,0.8666666666666667,0.49612403100775193,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.047619047619047616,0.9525988885256621,0.9519450800915332,1.0,0.9166666666666666,0.5238095238095238,0.5714285714285714
trip_purpose,Sports,6,0.0,1.0,1.0,1.0,1.0,1.0,1.0
trip_purpose,Study/conference,69,0.08695652173913043,0.913618587531631,0.9087301587301588,0.9512195121951219,0.9069767441860465,0.5942028985507246,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.2339622641509434,0.7618926060990434,0.7610374919198448,0.7201591511936339,0.8887070376432079,0.6322851153039832,0.5123689727463312
