train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.836437307164226,0.0038832825578794423,0.7993250317890042,0.004607798874330443
8281,0.8430014206602024,0.002775794454149432,0.8042784937370712,0.00401467043371091
12422,0.8397863024035093,0.0014298211832594193,0.806966159794937,0.003687049805511076
16563,0.8380267415962862,0.0013122293068746794,0.8077604432372812,0.0033246922747413297
20704,0.8381708454346086,0.002335926462500414,0.8084269946102698,0.0032045048814111528
24845,0.8357944976316135,0.0011371144330510074,0.8092656726498338,0.0029501776098427523
28986,0.8345692623096157,0.0010346594745268968,0.8090606311192561,0.0036027034416848476
33127,0.8345906999595052,0.00102927756041037,0.8095839245801184,0.0032893289409072135
37268,0.8345620487738522,0.0011153628632635056,0.8091591585946155,0.003196137928014437
41409,0.8342948968597559,0.0009298597105527763,0.8097925894385363,0.0031609241995426787
