test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8095999551856106,0.8095999551856106,0.8101529902642559,0.0
numeric_noise,0.01,0.8095412057553317,0.8095412057553318,0.8101529902642559,5.874943027883717e-05
numeric_noise,0.03,0.8095412057553317,0.8095412057553318,0.8101529902642559,5.874943027883717e-05
numeric_noise,0.05,0.8093630182626145,0.8093630182626145,0.8099791376912379,0.00023693692299608937
numeric_noise,0.1,0.8095412057553317,0.8095412057553318,0.8101529902642559,5.874943027883717e-05
missing_values,0.01,0.8094220086870134,0.8094220086870134,0.8099791376912379,0.00017794649859714795
missing_values,0.03,0.8094642873432659,0.8094642873432659,0.8099791376912379,0.00013566784234464446
missing_values,0.05,0.8076927961667417,0.8076927961667416,0.808240611961057,0.0019071590188688425
categorical_replacement,0.01,0.8095999551856106,0.8095999551856106,0.8101529902642559,0.0
categorical_replacement,0.03,0.8101194578775459,0.8101194578775459,0.8106745479833102,-0.0005195026919353474
categorical_replacement,0.05,0.8080125375766088,0.808012537576609,0.8085883171070932,0.0015874176090017178
