test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8037967880937502,0.8037967880937502,0.8042420027816412,0.0
rating_shift,0.01,0.8034547939628348,0.8034547939628349,0.803894297635605,0.00034199413091540176
rating_shift,0.03,0.7990584109716434,0.7990584109716433,0.7993741307371349,0.004738377122106785
rating_shift,0.05,0.7983506742617996,0.7983506742617997,0.7986787204450626,0.005446113831950594
binary_flip,0.01,0.7966262349086233,0.7966262349086232,0.7969401947148818,0.007170553185126938
binary_flip,0.03,0.7889635850834138,0.7889635850834138,0.7891168289290682,0.014833203010336415
binary_flip,0.05,0.7765857695921279,0.776585769592128,0.7765994436717664,0.02721101850162233
missing_values,0.01,0.8027111377909415,0.8027111377909415,0.8031988873435327,0.001085650302808716
missing_values,0.03,0.7976673827612832,0.7976673827612831,0.7981571627260083,0.006129405332466975
missing_values,0.05,0.7955548307506249,0.7955548307506249,0.7960709318497914,0.008241957343125272
categorical_replacement,0.01,0.8039677758285633,0.8039677758285633,0.8044158553546592,-0.00017098773481305507
categorical_replacement,0.03,0.8039612194030223,0.8039612194030223,0.8044158553546592,-0.00016443130927212835
categorical_replacement,0.05,0.8032707723648427,0.8032707723648427,0.8037204450625869,0.0005260157289075362
