test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8016336908877209,0.8016336908877207,0.8019819193324061,0.0
rating_shift,0.01,0.8018107355525801,0.8018107355525801,0.8021557719054242,-0.0001770446648592383
rating_shift,0.03,0.800074964742955,0.8000749647429549,0.8004172461752433,0.0015587261447658207
rating_shift,0.05,0.8028837205810356,0.8028837205810356,0.8031988873435327,-0.0012500296933147803
binary_flip,0.01,0.8023585693486492,0.8023585693486494,0.8026773296244785,-0.0007248784609283909
binary_flip,0.03,0.7988870549184589,0.798887054918459,0.7992002781641169,0.0027466359692619458
binary_flip,0.05,0.7994937525168038,0.7994937525168038,0.799721835883171,0.0021399383709170827
missing_values,0.01,0.8014738686946046,0.8014738686946046,0.8018080667593881,0.00015982219311627688
missing_values,0.03,0.7996311523126312,0.799631152312631,0.7998956884561892,0.0020025385750896962
missing_values,0.05,0.8006806656426368,0.8006806656426368,0.8009388038942976,0.0009530252450840049
categorical_replacement,0.01,0.8014624240157656,0.8014624240157655,0.8018080667593881,0.0001712668719552335
categorical_replacement,0.03,0.8016278768036109,0.8016278768036109,0.8019819193324061,5.8140841099341145e-06
categorical_replacement,0.05,0.8019703514368406,0.8019703514368406,0.8023296244784422,-0.0003366605491197383
