test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8102914750278801,0.8102914750278801,0.8110222531293463,0.0
rating_shift,0.01,0.8101454588301479,0.810145458830148,0.8108484005563282,0.00014601619773224606
rating_shift,0.03,0.8087973586693381,0.8087973586693381,0.8094575799721836,0.0014941163585420192
rating_shift,0.05,0.8107432439460488,0.8107432439460488,0.8113699582753825,-0.00045176891816867126
binary_flip,0.01,0.7856215764767653,0.7856215764767653,0.7856397774687065,0.02466989855111479
binary_flip,0.03,0.7341187561776347,0.7341187561776347,0.7386995827538247,0.07617271885024546
binary_flip,0.05,0.6489827321701971,0.6489827321701971,0.6703755215577191,0.16130874285768304
missing_values,0.01,0.8066053578180312,0.8066053578180312,0.8073713490959666,0.003686117209848905
missing_values,0.03,0.8040749701623238,0.8040749701623238,0.8047635605006954,0.00621650486555636
missing_values,0.05,0.7977489360043073,0.7977489360043073,0.7986787204450626,0.01254253902357283
categorical_replacement,0.01,0.8103078208282876,0.8103078208282875,0.8110222531293463,-1.6345800407435718e-05
categorical_replacement,0.03,0.8103078208282876,0.8103078208282875,0.8110222531293463,-1.6345800407435718e-05
categorical_replacement,0.05,0.8106487059458677,0.8106487059458678,0.8113699582753825,-0.000357230917987561
