test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8141332895859531,0.8141332895859532,0.814673157162726,0.0
rating_shift,0.01,0.814502722509636,0.8145027225096361,0.8150208623087621,-0.0003694329236828553
rating_shift,0.03,0.8107604008176112,0.8107604008176115,0.8111961057023644,0.003372888768341853
rating_shift,0.05,0.8128260430104086,0.8128260430104087,0.8132823365785814,0.001307246575544485
binary_flip,0.01,0.7762385564872373,0.7762385564872372,0.7765994436717664,0.03789473309871583
binary_flip,0.03,0.7052842315341823,0.7052842315341824,0.7148817802503477,0.10884905805177081
binary_flip,0.05,0.6149917220600802,0.6149917220600802,0.646557719054242,0.19914156752587286
missing_values,0.01,0.807939641206376,0.807939641206376,0.8084144645340751,0.0061936483795771435
missing_values,0.03,0.8018567409498172,0.8018567409498172,0.8023296244784422,0.01227654863613592
missing_values,0.05,0.7987267380910912,0.7987267380910911,0.7992002781641169,0.01540655149486192
categorical_replacement,0.01,0.8131216907612625,0.8131216907612625,0.8136300417246175,0.001011598824690596
categorical_replacement,0.03,0.8128130666227105,0.8128130666227106,0.8132823365785814,0.0013202229632426343
categorical_replacement,0.05,0.8118548045932897,0.8118548045932897,0.8122392211404729,0.0022784849926633655
