test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8118343330531044,0.8118343330531043,0.8124130737134909,0.0
rating_shift,0.01,0.8125391181419805,0.8125391181419804,0.8131084840055632,-0.0007047850888761698
rating_shift,0.03,0.8086367749951004,0.8086367749951004,0.8091098748261474,0.0031975580580039242
rating_shift,0.05,0.8098401364111434,0.8098401364111434,0.810326842837274,0.001994196641960988
binary_flip,0.01,0.8102779124333455,0.8102779124333453,0.8106745479833102,0.0015564206197589137
binary_flip,0.03,0.8054969996128533,0.8054969996128533,0.8056328233657858,0.006337333440251114
binary_flip,0.05,0.8012851576678559,0.8012851576678559,0.8012865090403338,0.010549175385248466
missing_values,0.01,0.8109660390766782,0.810966039076678,0.8115438108484005,0.0008682939764261821
missing_values,0.03,0.8103255410783075,0.8103255410783075,0.8108484005563282,0.0015087919747969192
missing_values,0.05,0.8096070885560267,0.8096070885560267,0.8101529902642559,0.002227244497077674
categorical_replacement,0.01,0.811670821200784,0.8116708212007842,0.8122392211404729,0.0001635118523203305
categorical_replacement,0.03,0.8116562952959188,0.8116562952959188,0.8122392211404729,0.00017803775718561177
categorical_replacement,0.05,0.8118487993144059,0.8118487993144058,0.8124130737134909,-1.4466261301526728e-05
