attribute,group,n_objects,error_rate,f1_weighted,f1_macro,precision_positive,recall_positive,pred_positive_rate,true_positive_rate_base
gender,Female,2850,0.18666666666666668,0.8126438980976749,0.8125857529573182,0.781602002503129,0.8722067039106145,0.5607017543859649,0.5024561403508772
gender,Male,2902,0.1698828394210889,0.829787072747914,0.8298213040785358,0.8011399620012666,0.8760387811634349,0.5441075120606478,0.49758787043418334
age_group,18 to 25 years,458,0.14410480349344978,0.8549413535627524,0.8436860068259386,0.87248322147651,0.9027777777777778,0.6506550218340611,0.62882096069869
age_group,26 to 35 years,1145,0.14934497816593886,0.8506709747549525,0.8506094420600858,0.8583765112262521,0.8481228668941979,0.5056768558951965,0.5117903930131005
age_group,36 to 45 years,956,0.13598326359832635,0.8644226963233445,0.8617655041087724,0.822429906542056,0.8669950738916257,0.4476987447698745,0.4246861924686193
age_group,46 to 55 years,515,0.13592233009708737,0.8641043358194173,0.8639910056742726,0.8537549407114624,0.8674698795180723,0.4912621359223301,0.48349514563106794
age_group,56 to 65 years,220,0.17272727272727273,0.827475867546432,0.8244287634408602,0.7938144329896907,0.8105263157894737,0.4409090909090909,0.4318181818181818
age_group,Over 65 years,73,0.1643835616438356,0.8367440694954894,0.8330792682926829,0.7647058823529411,0.8666666666666667,0.4657534246575342,0.410958904109589
age_group,Unknown,2385,0.22557651991614255,0.7709302887130356,0.7701554831082291,0.7298387096774194,0.8887070376432079,0.6238993710691824,0.5123689727463312
nationality,Brazilian,5593,0.17790094761308778,0.8216378402821312,0.8216584442593208,0.7913015254787407,0.8738351254480287,0.5508671553727874,0.49883783300554263
nationality,Foreign,159,0.18867924528301888,0.8095675135075802,0.8072882999353588,0.7916666666666666,0.8837209302325582,0.6037735849056604,0.5408805031446541
flight_type,Domestic,5187,0.1769809138230191,0.822447322833176,0.8224050445577538,0.7918975069252078,0.8782642089093702,0.5567765567765568,0.5020242914979757
flight_type,International,565,0.18938053097345134,0.810659812112446,0.8106099765357493,0.7854671280276817,0.8345588235294118,0.511504424778761,0.4814159292035398
process,Boarding,3367,0.14463914463914465,0.855371573045259,0.85535350609155,0.8454706927175843,0.8633615477629988,0.5016335016335016,0.4912384912384912
process,Disembarkation,2385,0.22557651991614255,0.7709302887130356,0.7701554831082291,0.7298387096774194,0.8887070376432079,0.6238993710691824,0.5123689727463312
trip_purpose,Business,1246,0.14125200642054575,0.8585787952082073,0.8556685832227627,0.8425047438330171,0.8268156424581006,0.4229534510433387,0.43097913322632425
trip_purpose,Family,198,0.12121212121212122,0.8786138663086983,0.8781788351107466,0.8703703703703703,0.9038461538461539,0.5454545454545454,0.5252525252525253
trip_purpose,Funeral,9,0.1111111111111111,0.8917748917748918,0.8831168831168831,1.0,0.8333333333333334,0.5555555555555556,0.6666666666666666
trip_purpose,Health,35,0.11428571428571428,0.8857142857142857,0.8776223776223776,0.8461538461538461,0.8461538461538461,0.37142857142857144,0.37142857142857144
trip_purpose,Legal/embassy,6,0.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334
trip_purpose,Leisure,1588,0.15428211586901763,0.8453762602948666,0.8446930126226346,0.8363636363636363,0.8793309438470729,0.5541561712846348,0.5270780856423174
trip_purpose,Leisure and business,56,0.19642857142857142,0.8033834586466165,0.8035087719298246,0.8461538461538461,0.7586206896551724,0.4642857142857143,0.5178571428571429
trip_purpose,Other,129,0.14728682170542637,0.8528728388059074,0.8523938572719061,0.8253968253968254,0.8666666666666667,0.4883720930232558,0.46511627906976744
trip_purpose,Religious/mission,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
trip_purpose,Relocation/return home,21,0.047619047619047616,0.9519327731092437,0.9505882352941177,0.9230769230769231,1.0,0.6190476190476191,0.5714285714285714
trip_purpose,Sports,6,0.16666666666666666,0.9090909090909091,0.45454545454545453,1.0,0.8333333333333334,0.8333333333333334,1.0
trip_purpose,Study/conference,69,0.07246376811594203,0.9277935948784762,0.9234184239733629,0.9523809523809523,0.9302325581395349,0.6086956521739131,0.6231884057971014
trip_purpose,Unknown/no answer,3,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
trip_purpose,,2385,0.22557651991614255,0.7709302887130356,0.7701554831082291,0.7298387096774194,0.8887070376432079,0.6238993710691824,0.5123689727463312
