train_size,train_mean_f1_macro,train_std_f1_macro,valid_mean_f1_macro,valid_std_f1_macro
4140,0.8969267092945208,0.0010537125277413151,0.8028597058716812,0.002806620359923037
8281,0.8818889322254506,0.0012094630584279023,0.808692023282817,0.0034465688863436145
12422,0.8655201174440759,0.002165810455456891,0.8100358285907076,0.004690931872296006
16563,0.8602242089591894,0.002296454449290676,0.8153533177527891,0.004194809756271323
20704,0.8564155673431161,0.0023736223418328764,0.8157104123793723,0.004605859867051232
24845,0.8516268215115957,0.0013344100571889856,0.815983281805227,0.004331876056501793
28986,0.8490804630369162,0.0013068949440974372,0.8163970050287975,0.0037730471276916314
33127,0.847015731920942,0.0011846097216675058,0.8168273981164109,0.003878398290097537
37268,0.8435765179052765,0.0006765441816262754,0.8172759129389989,0.004617916192014588
41409,0.8422098462605835,0.0011271103692622544,0.8182068999811124,0.0041794498930424265
