rank,feature,importance_mean,importance_std,baseline_f1_macro,n_repeats,max_samples,excluded_is_applicable_features,excluded_is_available_features
1,location_and_movement,0.05306659653729322,0.0022627487848377484,0.8203575915617285,5,5000,True,True
2,overall_airport_cleanliness,0.02200542468462683,0.0009568611447535388,0.8203575915617285,5,5000,True,True
3,boarding_lounge_comfort,0.009625276387501325,0.0024437497812089845,0.8203575915617285,5,5000,True,True
4,power_outlet_availability,0.007976439887960795,0.0015861006162798197,0.8203575915617285,5,5000,True,True
5,thermal_comfort,0.005147161860689619,0.0007098520380936671,0.8203575915617285,5,5000,True,True
6,food_beverage_outlet_quantity,0.0037767304694508843,0.00022824047927367497,0.8203575915617285,5,5000,True,True
7,baggage_claim_process,0.0035236643273902414,0.0007550587522482185,0.8203575915617285,5,5000,True,True
8,food_beverage_quality_variety,0.003287671377646828,0.000463569596441106,0.8203575915617285,5,5000,True,True
9,trips_last_12_months,0.0031735314317291596,0.0012463138435601345,0.8203575915617285,5,5000,True,True
10,food_beverage_price_quality,0.002532969436965393,0.0003295000088179406,0.8203575915617285,5,5000,True,True
11,seat_availability,0.0021945697874597324,0.0003363562211345943,0.8203575915617285,5,5000,True,True
12,security_screening_process,0.0020233739631425607,0.0011430767285571302,0.8203575915617285,5,5000,True,True
13,acoustic_comfort,0.0019245909213338574,0.0003754608759714716,0.8203575915617285,5,5000,True,True
14,household_income,0.0018315143446653748,0.000982342069461376,0.8203575915617285,5,5000,True,True
15,airport_internet,0.0016887509058329142,0.0009544598977919227,0.8203575915617285,5,5000,True,True
16,food_beverage_outlets,0.0016424158242466901,0.0008384896380081973,0.8203575915617285,5,5000,True,True
17,signage,0.0012670326680133347,0.00033909589226492414,0.8203575915617285,5,5000,True,True
18,immigration_control,0.0011684665438237874,0.0005095142616603526,0.8203575915617285,5,5000,True,True
19,baggage_carousel_identification_ease,0.001100470089203376,0.0001800454182440052,0.8203575915617285,5,5000,True,True
20,restroom_cleanliness,0.0010950582564676515,0.0003899908724699992,0.8203575915617285,5,5000,True,True
21,month,0.0010556065588314344,0.0007323380744179918,0.8203575915617285,5,5000,True,True
22,number_of_companions,0.0010316845468765878,0.0006056345215090085,0.8203575915617285,5,5000,True,True
23,trip_purpose,0.0009208492898155063,0.0005538836536014899,0.8203575915617285,5,5000,True,True
24,restrooms,0.0008919900180426321,0.0005898613463326906,0.8203575915617285,5,5000,True,True
25,retail_outlets,0.0008305840412424325,0.0003662355974792908,0.8203575915617285,5,5000,True,True
26,curbside_dropoff_ease,0.0006877707430177571,0.0009008540123243843,0.8203575915617285,5,5000,True,True
27,checkin_queue_organization,0.0006720664637444252,8.779902922077366e-05,0.8203575915617285,5,5000,True,True
28,parking_space_availability_ease,0.0006152001591090972,0.0,0.8203575915617285,5,5000,True,True
29,parking,0.0005978337403858003,0.0,0.8203575915617285,5,5000,True,True
30,transport_options_to_airport,0.0005825394910001335,0.0006779822050503216,0.8203575915617285,5,5000,True,True
31,retail_outlet_quantity,0.0005499550135029896,8.784077251063253e-05,0.8203575915617285,5,5000,True,True
32,used_airport_before_last_12_months,0.00044944637696162635,0.0005568442944081523,0.8203575915617285,5,5000,True,True
33,ticket_purchased_by,0.0004341468471623422,0.0012852124589907076,0.8203575915617285,5,5000,True,True
34,security_queue_wait_time,0.0004338232782204354,9.16846356057283e-05,0.8203575915617285,5,5000,True,True
35,retail_price_quality,0.00040143554958282923,0.0,0.8203575915617285,5,5000,True,True
36,disembarkation_method_rating,0.0003928206626790942,0.0,0.8203575915617285,5,5000,True,True
37,nationality,0.00031944106025498796,0.0004414012571102778,0.8203575915617285,5,5000,True,True
38,transport_to_airport,0.00031914757184936526,0.0011887816459862244,0.8203575915617285,5,5000,True,True
39,parking_facility_quality,0.00023741335892257798,9.169119203368823e-05,0.8203575915617285,5,5000,True,True
40,has_disability,0.00023569138957464376,0.00016432897424304728,0.8203575915617285,5,5000,True,True
41,immigration_queue_organization,0.00023569038154183097,8.78384974866434e-05,0.8203575915617285,5,5000,True,True
42,disembarkation_method_used,0.00023226687691919602,0.0003850128043202719,0.8203575915617285,5,5000,True,True
43,internet_connection_speed,0.00020504238469110092,0.0,0.8203575915617285,5,5000,True,True
44,parking_value_for_money,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
45,reserved_seat_availability,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
46,checkin_service_time,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
47,service_window_quantity,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
48,immigration_staff_service,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
49,immigration_queue_wait_time,0.00019640781125751516,0.0,0.8203575915617285,5,5000,True,True
50,requested_special_assistance,0.00019472660262616072,0.0002528840274166693,0.8203575915617285,5,5000,True,True
51,used_parking,0.00017974903544635268,0.0003368516469704357,0.8203575915617285,5,5000,True,True
52,traveling_alone,0.00017933867311004104,0.00014802965609445406,0.8203575915617285,5,5000,True,True
53,baggage_integrity,0.00015260659970948165,0.0002609794752748699,0.8203575915617285,5,5000,True,True
54,security_queue_organization,0.00012302543081466055,0.00011230633933996793,0.8203575915617285,5,5000,True,True
55,uses_assistive_device,0.00011440641528128736,0.00011228503580773331,0.8203575915617285,5,5000,True,True
56,baggage_claim_time,5.0155727024181475e-05,0.0002639618761330952,0.8203575915617285,5,5000,True,True
57,network_access_ease,4.2075912879702135e-05,0.00014198096914242353,0.8203575915617285,5,5000,True,True
58,flight_type,1.737863578397114e-05,0.000491741086685826,0.8203575915617285,5,5000,True,True
59,process,0.0,0.0,0.8203575915617285,5,5000,True,True
60,terminal_accessibility,0.0,0.0,0.8203575915617285,5,5000,True,True
61,parking_terminal_access_ease,0.0,0.0,0.8203575915617285,5,5000,True,True
62,customs_staff_service,0.0,0.0,0.8203575915617285,5,5000,True,True
63,customs_queue_organization,0.0,0.0,0.8203575915617285,5,5000,True,True
64,customs_queue_wait_time,0.0,0.0,0.8203575915617285,5,5000,True,True
65,self_service_kiosk_quantity,0.0,0.0,0.8203575915617285,5,5000,True,True
66,airline_service,-8.59567868305433e-06,0.0,0.8203575915617285,5,5000,True,True
67,arrival_lead_time,-1.484287356250391e-05,0.00026439473801051163,0.8203575915617285,5,5000,True,True
68,education,-4.9008343104683935e-05,0.00032258164989008257,0.8203575915617285,5,5000,True,True
69,connection,-4.9588608778261546e-05,0.00026237362628546104,0.8203575915617285,5,5000,True,True
70,checkin_process,-0.00012430774657279375,0.00010865555332940055,0.8203575915617285,5,5000,True,True
71,ticket_purchase_process,-0.0001334867777204707,0.00042946272521390637,0.8203575915617285,5,5000,True,True
72,connection_wait_time,-0.00021867110819211443,0.00024585804601843234,0.8203575915617285,5,5000,True,True
73,gender,-0.00026304471033469225,0.0004950178965532338,0.8203575915617285,5,5000,True,True
