test_type,level,f1_macro,f1_weighted,accuracy,f1_macro_drop_vs_baseline
baseline_clean,0.0,0.8213117947338715,0.8213117947338714,0.8218011126564673,0.0
numeric_noise,0.01,0.7542636799426345,0.7542636799426347,0.7571279554937413,0.06704811479123696
numeric_noise,0.03,0.7619790879702775,0.7619790879702775,0.7646036161335188,0.059332706763594034
numeric_noise,0.05,0.7566873649913253,0.7566873649913253,0.7593880389429764,0.06462442974254623
numeric_noise,0.1,0.7531137357967577,0.7531137357967577,0.7560848400556328,0.06819805893711384
missing_values,0.01,0.8200881970522181,0.8200881970522182,0.8205841446453408,0.0012235976816533656
missing_values,0.03,0.819797140104993,0.819797140104993,0.8202364394993046,0.0015146546288784535
missing_values,0.05,0.8189771284884404,0.8189771284884404,0.8193671766342142,0.002334666245431105
categorical_replacement,0.01,0.8205879395719125,0.8205879395719123,0.821105702364395,0.0007238551619590528
categorical_replacement,0.03,0.8182317659087153,0.8182317659087153,0.8186717663421419,0.0030800288251562336
categorical_replacement,0.05,0.8183580782320655,0.8183580782320655,0.81884561891516,0.0029537165018059808
